birdnet,ebird2021,comment
Elaenia cristata,plcela1,
Elaenia flavogaster,yebela1,
Elaenia frantzii,mouela1,
Elaenia martinica,carela1,
Elaenia pallatangae,sieela3,
Elaenia parvirostris,smbela1,
Elaenia spectabilis,larela1,
Elanoides forficatus,swtkit,
Elanus caeruleus,bkskit1,
Elanus leucurus,whtkit,
Electron platyrhynchum,brbmot1,
Emberiza calandra,corbun1,
Emberiza cia,rocbun1,
Emberiza cioides,meabun1,
Emberiza cirlus,cirbun1,
Emberiza citrinella,yellow2,
Emberiza elegans,yetbun1,
Emberiza flaviventris,gobbun1,
Emberiza hortulana,ortbun1,
Emberiza melanocephala,blhbun1,
Emberiza pusilla,litbun,
Emberiza rustica,rusbun,
Emberiza schoeniclus,reebun,
Emberiza spodocephala,blfbun1,
Emberiza tahapisi,cibbun1,
Emberizoides herbicola,wtgfin1,
Embernagra platensis,grpfin1,
Eminia lepida,gycwar3,
Empidonax alnorum,aldfly,
Empidonax difficilis,pasfly,
Empidonax flavescens,yelfly1,
Empidonax flaviventris,yebfly,
Empidonax fulvifrons,bubfly,
Empidonax hammondii,hamfly,
Empidonax minimus,leafly,
Empidonax oberholseri,dusfly,
Empidonax occidentalis,corfly,
Empidonax traillii,wilfly,
Empidonax virescens,acafly,
Empidonax wrightii,gryfly,
Empidonomus aurantioatrocristatus,croslf1,
Empidonomus varius,varfly,
Enicurus leschenaulti,whcfor1,
Entomyzon cyanotis,blfhon1,
Eolophus roseicapilla,galah,
Eopsaltria australis,yelrob1,
Epinecrophylla fulviventris,chtant1,
Eremophila alpestris,horlar,
Eremopterix griseus,ascspl1,
Erithacus rubecula,eurrob1,
Erpornis zantholeuca,whbyuh1,
Erythrogenys erythrocnemis,sbsbab2,
Erythrogenys erythrogenys,rcsbab1,
Estrilda astrild,comwax,
Eubucco bourcierii,rehbar1,
Eucometis penicillata,grhtan1,
Eudocimus albus,whiibi,
Eudynamys orientalis,asikoe3,
Eudynamys scolopaceus,asikoe2,
Eugenes fulgens,maghum1,
Eumomota superciliosa,tubmot1,
Eumyias thalassinus,verfly4,
Euodice cantans,afrsil1,
Euodice malabarica,indsil,
Eupetomena macroura,swthum1,
Euphagus carolinus,rusbla,
Euphagus cyanocephalus,brebla,
Euphonia affinis,screup1,
Euphonia chlorotica,puteup1,
Euphonia chrysopasta,gobeup1,
Euphonia gouldi,olbeup1,
Euphonia hirundinacea,yeteup1,
Euphonia laniirostris,thbeup1,
Euphonia minuta,whveup1,
Euphonia pectoralis,chbeup1,
Euphonia rufiventris,rubeup1,
Euphonia trinitatis,trieup1,
Euphonia violacea,vioeup1,
Euphonia xanthogaster,orbeup1,
Eupsittula aurea,pefpar1,
Eupsittula canicularis,orfpar,
Eupsittula nana,oltpar1,
Eupsittula pertinax,brtpar1,
Eurillas latirostris,yewgre1,
Eurillas virens,litgre2,
Eurylaimus ochromalus,baybro1,
Eurypyga helias,sunbit1,
Eurystomus glaucurus,brbrol1,
Eurystomus orientalis,dollar1,
Euscarthmus meloryphus,tacpyt1,
Falco columbarius,merlin,
Falco naumanni,leskes1,
Falco peregrinus,perfal,
Falco rufigularis,batfal1,
Falco sparverius,amekes,
Falco subbuteo,eurhob,
Falco tinnunculus,eurkes,
Ficedula albicilla,taifly1,
Ficedula albicollis,colfly1,
Ficedula hyperythra,snbfly1,
Ficedula hypoleuca,eupfly1,
Ficedula narcissina,narfly,
Ficedula parva,rebfly,
Ficedula tricolor,slbfly2,
Ficedula westermanni,lipfly1,
Ficedula zanthopygia,korfly1,
Fluvicola nengeta,mawtyr1,
Formicarius analis,blfant1,
Formicarius colma,rucant2,
Formicarius moniliger,bkfant2,
Formicarius rufipectus,rubant1,
Formicivora grisea,whfant1,
Forpus conspicillatus,spepar1,
Forpus passerinus,grrpar1,
Foudia madagascariensis,redfod1,
Francolinus francolinus,blkfra,
Francolinus pictus,paifra1,
Fregata minor,grefri,
Fringilla coelebs,comcha,
Fringilla montifringilla,brambl,
Fulica alai,hawcoo,
Fulica americana,y00475,
Fulica atra,eurcoo,
Fulmarus glacialis,norful,
Furnarius figulus,wibhor1,
Furnarius leucopus,palhor2,
Furnarius rufus,rufhor2,
Galbula cyanescens,blfjac1,
Galbula dea,parjac1,
Galbula ruficauda,rutjac1,
Galerida cristata,crelar2,
Galerida theklae,thelar1,
Gallicrex cinerea,waterc1,
Gallinago delicata,wilsni1,
Gallinago gallinago,comsni,
Gallinago paraguaiae,soasni2,
Gallinula chloropus,commoo3,
Gallinula galeata,comgal1,
Gallirallus philippensis,bubrai1,
Galloperdix spadicea,redspu1,
Gallus gallus,redjun,
Gallus sonneratii,grejun2,
Garrulax canorus,melthr,
Garrulax leucolophus,whclau2,
Garrulus glandarius,eurjay1,
Gavia immer,comloo,
Gavia stellata,retloo,
Gavicalis virescens,sinhon1,
Gelochelidon nilotica,gubter1,
Geococcyx californianus,greroa,
Geoffroyus geoffroyi,recpar2,
Geokichla citrina,orhthr1,
Geopelia humeralis,basdov1,
Geopelia placida,peadov1,
Geopelia striata,zebdov,
Geositta rufipennis,rubmin1,
Geothlypis aequinoctialis,masyel1,
Geothlypis formosa,kenwar,
Geothlypis philadelphia,mouwar,
Geothlypis poliocephala,gycyel,
Geothlypis semiflava,olcyel1,
Geothlypis tolmiei,macwar,
Geothlypis trichas,comyel,
Geotrygon montana,ruqdov,
Geranoaetus albicaudatus,whthaw,
Geranospiza caerulescens,crahaw,
Gerygone igata,gryger1,
Gerygone mouki,broger1,
Gerygone olivacea,whtger1,
Gerygone sulphurea,gobger1,
Glareola pratincola,colpra,
Glaucestrilda caerulescens,lavwax,
Glaucidium brasilianum,fepowl,
Glaucidium cuculoides,asbowl1,
Glaucidium gnoma,nopowl,
Glaucidium nana,aupowl1,
Glaucidium perlatum,pesowl1,
Glaucidium peruanum,pepowl1,
Glaucidium radiatum,junowl1,
Glossopsitta concinna,muslor1,
Glyphorynchus spirurus,webwoo1,
Gnorimopsar chopi,chobla1,
Gracula indica,sohmyn1,
Gracula religiosa,hilmyn,
Gracupica contra,aspsta2,
Gracupica nigricollis,bkcsta1,
Grallaria guatimalensis,scaant1,
Grallaria nuchalis,chnant1,
Grallaria quitensis,tawant1,
Grallaria ruficapilla,chcant2,
Grallaria saturata,equant1,
Grallina cyanoleuca,maglar1,
Grammatoptila striata,strlau2,
Grus grus,comcra,
Gubernetes yetapa,stttyr2,
Guira guira,guicuc1,
Gygis alba,whiter,
Gymnopithys bicolor,bicant2,
Gymnorhina tibicen,ausmag2,
Gymnorhinus cyanocephalus,pinjay,
Gymnoris xanthocollis,chspet1,
Habia fuscicauda,rtatan1,
Habia rubica,rcatan1,
Haematopus bachmani,blkoys,
Haematopus ostralegus,euroys1,
Haematopus palliatus,ameoys,
Haemorhous cassinii,casfin,
Haemorhous mexicanus,houfin,
Haemorhous purpureus,purfin,
Hafferia zeledoni,zelant1,
Halcyon senegalensis,wookin1,
Halcyon smyrnensis,whtkin2,
Haliaeetus albicilla,whteag,
Haliaeetus leucocephalus,baleag,
Haliaeetus leucogaster,wbseag1,
Haliaeetus vocifer,affeag1,
Haliastur indus,brakit1,
Harpactes erythrocephalus,rehtro1,
Hedydipna collaris,colsun2,
Helmitheros vermivorum,woewar1,
Hemignathus wilsoni,akiapo,
Hemithraupis guira,guitan1,
Hemithraupis ruficapilla,ruhtan1,
Hemitriccus margaritaceiventer,pvttyr1,
Hemixos castanonotus,chebul1,
Hemixos flavala,ashbul1,
Henicorhina leucophrys,gbwwre1,
Henicorhina leucosticta,wbwwre1,
Herpetotheres cachinnans,laufal1,
Herpsilochmus atricapillus,blcant2,
Herpsilochmus rufimarginatus,ruwant4,
Heterophasia auricularis,whesib1,
Heterophasia capistrata,rufsib1,
Hieraaetus pennatus,booeag1,
Hierococcyx sparverioides,larhac2,
Hierococcyx varius,cohcuc1,
Himantopus himantopus,bkwsti,
Himantopus leucocephalus,piesti1,
Himantopus mexicanus,bknsti,
Himatione sanguinea,apapan,
Hippolais icterina,ictwar1,
Hippolais polyglotta,melwar1,
Hirundinea ferruginea,clifly1,
Hirundo neoxena,welswa1,
Hirundo rustica,barswa,
Horornis acanthizoides,ybbwar1,
Horornis canturians,manbuw1,
Horornis diphone,jabwar,
Horornis fortipes,bfbwar1,
Hydrobates castro,barpet,
Hydrobates leucorhous,lcspet,
Hydrophasianus chirurgus,phtjac1,
Hydroprogne caspia,caster1,
Hylocharis chrysura,gilhum1,
Hylocichla mustelina,woothr,
Hylomanes momotula,todmot1,
Hylophilus flavipes,scrgre1,
Hylophilus poicilotis,rucgre1,
Hylophylax naevioides,spoant1,
Hypnelus ruficollis,rutpuf1,
Hypocnemis peruviana,perwaa1,
Hypoedaleus guttatus,spbant3,
Hypothymis azurea,blnmon1,
Hypsipetes amaurotis,brebul1,
Hypsipetes ganeesa,sqtbul1,
Hypsipetes leucocephalus,blabul1,
Hypsipetes philippinus,phibul1,
Ibycter americanus,retcar2,
Ichthyaetus melanocephalus,medgul1,
Icteria virens,yebcha,
Icterus bullockii,bulori,
Icterus cayanensis,epaori1,
Icterus chrysater,yebori1,
Icterus croconotus,orbtro3,
Icterus cucullatus,hooori,
Icterus galbula,balori,
Icterus graduacauda,audori,
Icterus gularis,altori,
Icterus icterus,ventro1,
Icterus mesomelas,yetori1,
Icterus nigrogularis,yelori1,
Icterus parisorum,scoori,
Icterus pectoralis,spbori,
Icterus pustulatus,stbori,
Icterus pyrrhopterus,epaori4,
Icterus spurius,orcori,
Icterus wagleri,bkvori,
Ictinia mississippiensis,miskit,
Iduna caligata,boowar1,
Iduna opaca,weowar1,
Iduna pallida,eaowar1,
Iduna rama,sykwar2,
Ilicura militaris,pitman1,
Indicator indicator,grehon2,
Indicator minor,leshon1,
Iole indica,yebbul3,
Irena puella,asfblu1,
Ixobrychus exilis,leabit,
Ixobrychus minutus,litbit1,
Ixoreus naevius,varthr,
Ixos mcclellandii,moubul2,
Jacamerops aureus,grejac2,
Jacana jacana,watjac1,
Jacana spinosa,norjac,
Junco hyemalis,daejun,
Junco phaeonotus,yeejun,
Jynx torquilla,eurwry,
Klais guimeti,vihhum1,
Kleinothraupis atropileus,blchem1,
Lagopus lagopus,wilpta,
Lagopus muta,rocpta1,
Lalage melanoptera,bkhcus1,
Lalage tricolor,whwtri1,
Lampornis clemenciae,buthum,
Lamprotornis chalybaeus,gbesta1,
Lamprotornis splendidus,spgsta1,
Laniarius ferrugineus,soubou1,
Laniarius funebris,slcbou1,
Laniarius major,trobou1,
Lanius borealis,norshr4,
Lanius bucephalus,buhshr1,
Lanius collurio,rebshr1,
Lanius cristatus,brnshr,
Lanius excubitor,norshr1,
Lanius ludovicianus,logshr,
Lanius meridionalis,ibgshr1,
Lanius schach,lotshr1,
Lanius senator,wooshr1,
Lanius vittatus,babshr1,
Larosterna inca,incter1,
Larus argentatus,hergul,
Larus cachinnans,casgul2,
Larus californicus,calgul,
Larus canus,mewgul,
Larus delawarensis,ribgul,
Larus dominicanus,kelgul,
Larus fuscus,lbbgul,
Larus glaucescens,glwgul,
Larus heermanni,heegul,
Larus hyperboreus,glagul,
Larus marinus,gbbgul,
Larus michahellis,yelgul1,
Larus occidentalis,wesgul,
Larvivora brunnea,inbrob1,
Larvivora cyane,sibrob,
Laterallus albigularis,whtcra1,
Laterallus exilis,grbcra1,
Laterallus jamaicensis,blkrai,
Laterallus melanophaius,ruscra1,
Laterallus ruber,rudcra1,
Lathrotriccus euleri,eulfly1,
Legatus leucophaius,pirfly1,
Leiothlypis celata,orcwar,
Leiothlypis luciae,lucwar,
Leiothlypis peregrina,tenwar,
Leiothlypis ruficapilla,naswar,
Leiothlypis virginiae,virwar,
Leiothrix lutea,reblei,
Leistes bellicosus,permea1,
Leistes loyca,lotmea1,
Leistes militaris,rebbla1,
Leistes superciliaris,whbbla2,
Lepidocolaptes affinis,spcwoo1,
Lepidocolaptes angustirostris,nabwoo1,
Lepidocolaptes lacrymiger,monwoo1,
Lepidocolaptes souleyetii,sthwoo1,
Lepidothrix coronata,blcman1,
Leptasthenura aegithaloides,pmtspi1,
Leptocoma minima,crbsun2,
Leptocoma zeylonica,pursun3,
Leptodon cayanensis,grhkit1,
Leptopogon amaurocephalus,secfly1,
Leptopogon rufipectus,rubfly2,
Leptopogon superciliaris,slcfly1,
Leptotila rufaxilla,grfdov1,
Leptotila verreauxi,whtdov,
Leucochloris albicollis,whthum2,
Leucophaeus atricilla,laugul,
Leucophaeus pipixcan,fragul,
Leucosticte tephrocotis,gcrfin,
Lichmera indistincta,brohon1,
Limnodromus griseus,shbdow,
Limnodromus scolopaceus,lobdow,
Limnothlypis swainsonii,swawar,
Limosa fedoa,margod,
Limosa haemastica,hudgod,
Limosa lapponica,batgod,
Limosa limosa,bktgod,
Linaria cannabina,eurlin1,
Linaria flavirostris,twite1,
Liocichla steerii,stelio1,
Lipaugus unirufus,rufpih1,
Lipaugus vociferans,scrpih1,
Lochmias nematura,shtstr1,
Locustella luscinioides,savwar1,
Locustella naevia,cogwar1,
Lonchura atricapilla,chemun,
Lonchura punctulata,nutman,
Lonchura striata,whrmun,
Lophoceros alboterminatus,crohor1,
Lophoceros nasutus,afghor1,
Lophodytes cucullatus,hoomer,
Lophophanes cristatus,cretit2,
Lophostrix cristata,creowl1,
Lophotriccus pileatus,scptyr1,
Lophura leucomelanos,kalphe,
Loriculus vernalis,vehpar1,
Loxia curvirostra,redcro,
Loxia leucoptera,whwcro,
Loxioides bailleui,palila,
Loxops caeruleirostris,akekee,
Loxops coccineus,akepa1,
Loxops mana,hawcre,
Lullula arborea,woolar1,
Lurocalis semitorquatus,shtnig1,
Luscinia luscinia,thrnig1,
Luscinia megarhynchos,comnig1,
Luscinia svecica,blueth,
Lybius torquatus,blcbar1,
Lymnocryptes minimus,jacsni,
Machaeropterus deliciosus,clwman1,
Machetornis rixosa,cattyr,
Machlolophus spilonotus,yectit1,
Mackenziaena severa,tufant1,
Macropygia phasianella,brcdov1,
Malacocincla abbotti,abbbab1,
Malaconotus blanchoti,gyhbus1,
Malurus cyaneus,supfai1,
Manacus candei,whcman1,
Manacus manacus,whbman1,
Manacus vitellinus,gocman1,
Manorina melanocephala,noimin1,
Manorina melanophrys,belmin1,
Mareca americana,amewig,
Mareca penelope,eurwig,
Mareca strepera,gadwal,
Margarops fuscatus,peethr1,
Mecocerculus leucophrys,whttyr2,
Mecocerculus stictopterus,whbtyr1,
Megaceryle alcyon,belkin1,
Megaceryle torquata,rinkin1,
Megalurus palustris,strgra1,
Megapodius reinwardt,orfscr1,
Megarynchus pitangua,bobfly1,
Megascops asio,easowl1,
Megascops choliba,trsowl,
Megascops kennicottii,wesowl1,
Megascops trichopsis,whsowl1,
Megascops watsonii,tabsco1,
Melanerpes aurifrons,gofwoo,
Melanerpes candidus,whiwoo1,
Melanerpes carolinus,rebwoo,
Melanerpes chrysogenys,gocwoo1,
Melanerpes cruentatus,yetwoo2,
Melanerpes erythrocephalus,rehwoo,
Melanerpes flavifrons,yefwoo1,
Melanerpes formicivorus,acowoo,
Melanerpes hoffmannii,hofwoo1,
Melanerpes lewis,lewwoo,
Melanerpes rubricapillus,recwoo1,
Melanerpes uropygialis,gilwoo,
Melanitta americana,blksco2,
Melanitta nigra,blksco1,
Melanochlora sultanea,sultit1,
Melanocorypha calandra,callar1,
Melanoptila glabrirostris,blacat1,
Melanospiza bicolor,bkfgra,
Melanotis caerulescens,blumoc,
Melanotis hypoleucus,bawmoc1,
Meleagris gallopavo,wiltur,
Meliphaga lewinii,lewhon1,
Melithreptus albogularis,whthon1,
Melospiza georgiana,swaspa,
Melospiza lincolnii,linspa,
Melospiza melodia,sonspa,
Melozone aberti,abetow,
Melozone albicollis,whttow1,
Melozone crissalis,caltow,
Melozone fusca,cantow,
Menura novaehollandiae,suplyr1,
Mergus merganser,commer,
Mergus serrator,rebmer,
Merops apiaster,eubeat1,
Merops orientalis,grbeat1,
Merops ornatus,rabeat1,
Merops persicus,bcbeat1,
Merops philippinus,btbeat1,
Mesembrinibis cayennensis,greibi1,
Metallura tyrianthina,tyrmet1,
Metopidius indicus,brwjac1,
Micrastur ruficollis,baffal1,
Micrastur semitorquatus,coffal1,
Micrathene whitneyi,elfowl,
Microbates cinereiventris,tafgna1,
Microcerculus marginatus,scbwre1,
Microcerculus philomela,nigwre1,
Microeca flavigaster,lebfly3,
Micropternus brachyurus,rufwoo2,
Microrhopias quixensis,dowant1,
Milvago chimachima,yehcar1,
Milvago chimango,chicar1,
Milvus migrans,blakit1,
Milvus milvus,redkit1,
Mimus gilvus,tromoc,
Mimus longicaudatus,lotmoc1,
Mimus polyglottos,normoc,
Mimus saturninus,chbmoc1,
Mimus thenca,chimoc1,
Mionectes oleagineus,ocbfly1,
Mionectes olivaceus,olsfly1,
Mionectes rufiventris,gyhfly1,
Mirafra affinis,jerbus2,
Mirafra africana,runlar1,
Mirafra erythroptera,indbus2,
Mirafra javanica,ausbus2,
Mitrephanes phaeocercus,tuffly,
Mitrospingus cassinii,duftan1,
Mixornis gularis,sttbab1,
Mniotilta varia,bawwar,
Mohoua albicilla,whiteh1,
Molothrus aeneus,brocow,
Molothrus ater,bnhcow,
Molothrus bonariensis,shicow,
Molothrus oryzivorus,giacow,
Molothrus rufoaxillaris,scrcow1,
Momotus aequatorialis,higmot1,
Momotus lessonii,bucmot2,
Momotus mexicanus,rucmot1,
Momotus momota,bucmot4,
Momotus subrufescens,bucmot3,
Monasa morphoeus,whfnun1,
Monasa nigrifrons,blfnun1,
Monticola saxatilis,rtrthr1,
Monticola solitarius,burthr,
Morococcyx erythropygus,legcuc1,
Morus bassanus,norgan,
Motacilla aguimp,afpwag1,
Motacilla alba,whiwag,
Motacilla cinerea,grywag,
Motacilla citreola,citwag,
Motacilla flava,eaywag1,
Motacilla maderaspatensis,whbwag1,
Motacilla tschutschensis,eaywag,
Muscicapa adusta,afdfly1,
Muscicapa dauurica,asbfly,
Muscicapa griseisticta,gysfly1,
Muscicapa striata,spofly1,
Mustelirallus albicollis,astcra1,
Myadestes melanops,blfsol1,
Myadestes obscurus,omao,
Myadestes occidentalis,brbsol1,
Myadestes palmeri,puaioh,
Myadestes ralloides,andsol1,
Myadestes townsendi,towsol,
Myadestes unicolor,slcsol1,
Myiagra alecto,shifly1,
Myiagra inquieta,resfly1,
Myiagra rubecula,leafly2,
Myiarchus cephalotes,paefly1,
Myiarchus cinerascens,astfly,
Myiarchus crinitus,grcfly,
Myiarchus ferox,shcfly1,
Myiarchus nuttingi,nutfly,
Myiarchus sagrae,lasfly,
Myiarchus swainsoni,swafly1,
Myiarchus tuberculifer,ducfly,
Myiarchus tyrannulus,bncfly,
Myioborus melanocephalus,spered1,
Myioborus miniatus,sltred,
Myioborus ornatus,gofred1,
Myioborus pictus,paired,
Myiodynastes chrysocephalus,gocfly1,
Myiodynastes luteiventris,subfly,
Myiodynastes maculatus,strfly1,
Myiomela leucura,whtrob2,
Myiopagis caniceps,graela2,
Myiopagis gaimardii,forela1,
Myiopagis viridicata,greela,
Myiophobus fasciatus,brcfly1,
Myiopsitta monachus,monpar,
Myiornis atricapillus,bcptyr1,
Myiornis auricularis,eaptyr1,
Myiornis ecaudatus,stptyr1,
Myiotheretes striaticollis,stbtyr1,
Myiothlypis coronata,rucwar1,
Myiothlypis flaveola,flawar1,
Myiothlypis fulvicauda,burwar1,
Myiothlypis leucoblephara,whbwar2,
Myiothlypis nigrocristata,blcwar2,
Myiothlypis rivularis,rivwar1,
Myiotriccus ornatus,ornfly1,
Myiozetetes cayanensis,rumfly1,
Myiozetetes granadensis,grcfly1,
Myiozetetes similis,socfly1,
Myophonus caeruleus,blwthr1,
Myophonus horsfieldii,mawthr1,
Myrmeciza longipes,whbant1,
Myrmoborus leucophrys,whbant6,
Myrmoborus myotherinus,blfant2,
Myrmophylax atrothorax,bltant2,
Myrmothera dives,thiant1,
Myrmotherula axillaris,whfant2,
Myrmotherula brachyura,pygant1,
Myrmotherula menetriesii,gryant1,
Myrmotherula pacifica,pacant,
Myrmotherula schisticolor,slaant1,
Myzomela sanguinolenta,scamyz1,
Nannopterum auritum,doccor,
Nannopterum brasilianum,neocor,
Nasica longirostris,lobwoo1,
Nectarinia famosa,malsun1,
Nemosia pileata,hootan1,
Nesoptilotis flavicollis,yethon1,
Nilaus afer,brubru1,
Niltava grandis,larnil1,
Niltava macgrigoriae,smanil1,
Ninox boobook,souboo2,
Ninox novaeseelandiae,morepo2,
Ninox scutulata,brnhao1,
Ninox strenua,powowl1,
Nisaetus cirrhatus,y00839,
Notharchus hyperrhynchus,whnpuf2,
Notharchus tectus,piepuf1,
Nothura maculosa,sponot1,
Nucifraga caryocatactes,eurnut1,
Nucifraga columbiana,clanut,
Numenius americanus,lobcur,
Numenius arquata,eurcur,
Numenius phaeopus,whimbr,
Numenius tahitiensis,brtcur,
Numida meleagris,helgui,
Nyctanassa violacea,ycnher,
Nyctibius grandis,grepot1,
Nyctibius griseus,compot1,
Nycticorax nycticorax,bcnher,
Nyctidromus albicollis,compau,
Nystalus chacuru,whepuf1,
Nystalus maculatus,spbpuf1,
Ochthoeca cinnamomeiventris,sbctyr1,
Ochthoeca fumicolor,bbctyr1,
Ochthoeca rufipectoralis,rbctyr1,
Ocreatus underwoodii,bortai1,
Ocyceros birostris,inghor2,
Ocyceros griseus,maghor2,
Odontophorus guttatus,spwqua1,
Odontophorus hyperythrus,chwqua1,
Oenanthe fusca,indcha1,
Oenanthe isabellina,isawhe1,
Oenanthe oenanthe,norwhe,
Oncostoma cinereigulare,norben1,
Onychoprion fuscatus,sooter1,
Onychoprion lunatus,gybter1,
Onychorhynchus coronatus,royfly1,
Opisthocomus hoazin,hoatzi1,
Oporornis agilis,conwar,
Oreomystis bairdi,akikik,
Oreortyx pictus,mouqua,
Oreoscoptes montanus,sagthr,
Oreothlypis superciliosa,crcwar,
Oriolus chinensis,blnori1,
Oriolus flavocinctus,greori1,
Oriolus kundoo,ingori1,
Oriolus larvatus,abhori1,
Oriolus oriolus,eugori2,
Oriolus sagittatus,olbori1,
Oriolus traillii,marori2,
Oriolus xanthornus,blhori1,
Ornithion brunneicapillus,brctyr,
Ornithion inerme,whltyr1,
Ortalis canicollis,chacha1,
Ortalis cinereiceps,grhcha1,
Ortalis columbiana,colcha1,
Ortalis guttata,specha3,
Ortalis leucogastra,whbcha1,
Ortalis poliocephala,wemcha1,
Ortalis ruficauda,ruvcha1,
Ortalis vetula,placha,
Orthopsittaca manilatus,rebmac2,
Orthotomus atrogularis,dantai1,
Orthotomus ruficeps,ashtai1,
Orthotomus sericeus,ruttai1,
Orthotomus sutorius,comtai1,
Ortygornis pondicerianus,gryfra,
Otus bakkamoena,insowl1,
Otus lettia,cosowl1,
Otus scops,eursco1,
Otus spilocephalus,mosowl2,
Oxyura jamaicensis,rudduc,
Pachycephala pectoralis,golwhi1,
Pachycephala rufiventris,rufwhi1,
Pachyramphus aglaiae,rotbec,
Pachyramphus castaneus,chcbec1,
Pachyramphus cinnamomeus,cinbec1,
Pachyramphus polychopterus,whwbec1,
Pachyramphus validus,crebec1,
Pachyramphus versicolor,barbec1,
Pachyramphus viridis,grbbec1,
Pachysylvia aurantiifrons,gofgre1,
Pachysylvia decurtata,lesgre1,
Pachysylvia hypoxantha,ducgre1,
Pachysylvia semibrunnea,rungre1,
Padda oryzivora,javspa,
Palmeria dolei,crehon,
Pandion haliaetus,osprey,
Panurus biarmicus,bearee1,
Parabuteo unicinctus,hrshaw,
Pardalotus punctatus,spopar1,
Pardalotus striatus,strpar1,
Pardirallus nigricans,blarai1,
Pardirallus sanguinolentus,plurai1,
Parkesia motacilla,louwat,
Parkesia noveboracensis,norwat,
Paroaria capitata,yebcar,
Paroaria coronata,reccar,
Paroreomyza montana,mauala,
Parus cinereus,gretit2,
Parus major,gretit1,
Parus minor,gretit4,
Parus monticolus,grbtit1,
Passer cinnamomeus,russpa2,
Passer domesticus,houspa,
Passer griseus,gyhspa1,
Passer hispaniolensis,spaspa1,
Passer italiae,itaspa1,
Passer montanus,eutspa,
Passerculus sandwichensis,savspa,
Passerella iliaca,foxspa,
Passerina amoena,lazbun,
Passerina caerulea,blugrb1,
Passerina ciris,paibun,
Passerina cyanea,indbun,
Passerina versicolor,varbun,
Pastor roseus,rossta2,
Patagioenas cayennensis,pavpig2,
Patagioenas fasciata,batpig1,
Patagioenas flavirostris,rebpig1,
Patagioenas nigrirostris,shbpig,
Patagioenas picazuro,picpig2,
Patagioenas plumbea,plupig2,
Patagioenas speciosa,scapig2,
Patagioenas subvinacea,rudpig,
Patagona gigas,giahum1,
Pavo cristatus,compea,
Pelargopsis capensis,stbkin1,
Pellorneum ruficeps,putbab1,
Penelope jacquacu,spigua1,
Penelope montagnii,andgua1,
Penelope obscura,dulgua1,
Penelope purpurascens,cregua1,
Perdicula asiatica,jubqua1,
Perdix perdix,grypar,
Pericrocotus cinnamomeus,smamin1,
Pericrocotus divaricatus,ashmin1,
Pericrocotus ethologus,lotmin1,
Pericrocotus flammeus,scamin3,
Pericrocotus speciosus,scamin1,
Periparus ater,coatit2,
Perisoreus canadensis,gryjay,
Pernis apivorus,euhbuz1,
Pernis ptilorhynchus,orihob2,
Petrochelidon fulva,cavswa,
Petrochelidon pyrrhonota,cliswa,
Petroica macrocephala,tomtit1,
Petronia petronia,rocpet1,
Peucaea aestivalis,bacspa,
Peucaea botterii,botspa,
Peucaea carpalis,ruwspa,
Peucaea cassinii,casspa,
Peucaea ruficauda,sthspa1,
Peucedramus taeniatus,oliwar,
Phacellodomus ruber,gretho2,
Phacellodomus rufifrons,ruftho1,
Phacellodomus striaticollis,frbtho1,
Phaeochroa cuvierii,scbhum1,
Phaeomyias murina,moctyr1,
Phaethon lepturus,whttro,
Phaethon rubricauda,rettro,
Phaethornis eurynome,scther1,
Phaethornis guy,greher1,
